Sr.,"Company Name","Company Code","Customer Name","Customer Code",Date,"PO Reference","Btire Order No.","SAP Order No.",Status,"SKU No.",Brand,"Product Description",Qty,Price,"Total Value"
17,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 06:00:17",,BT00028628,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1712,1712.0000
18,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 06:00:17",,BT00028628,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,1435,1435.0000
19,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 05:46:08",,BT00028627,,approval_pending,PSR0G806-2025,Bridgestone,"Bridgestone 285/35 R20 T005 104Y T/L 2025",2.0000,913,1826.0000
20,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 05:41:27",,BT00028626,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1712,1712.0000
21,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-30 05:41:26",,BT00028625,,approval_pending,PSR0G347-2025,Bridgestone,"Bridgestone 315/35 R21 111Y Dueler H/P Sport N0 2025",1.0000,1712,1712.0000
22,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-28 11:33:04",,BT00028624,,approval_pending,PSR15633-2025,Bridgestone,"Bridgestone 255/45 R20 101W Alenza 001 2025",1.0000,1764,1764.0000
23,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-28 11:32:04",,BT00028623,,approval_pending,PSR0G366-2025,Bridgestone,"Bridgestone 265/45 R21 108H Alenza 001 AO 2025",1.0000,1435,1435.0000
24,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-20 13:27:20",,BT00028622,,approval_pending,PSR02347-2025,Bridgestone,"Bridgestone 285/45 R19 111W RunFlat Dueler H/P Asymmetric * 2025",1.0000,1820,1820.0000
25,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-20 11:30:28",,BT00028621,,canceled,PSR02347-2025,Bridgestone,"Bridgestone 285/45 R19 111W RunFlat Dueler H/P Asymmetric * 2025",1.0000,1820,1820.0000
26,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-20 11:25:59",,BT00028620,,approval_pending,PSR15633-2025,Bridgestone,"Bridgestone 255/45 R20 101W Alenza 001 2025",1.0000,1764,1764.0000
27,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-19 10:59:09",,BT00028619,,approval_pending,PSR0LE83-2025,Bridgestone,"Bridgestone 215/55 R16 93V Turanza T005 2025",1.0000,355,355.0000
