Sr.,"Company Name","Company Code","Customer Name","Customer Code",Date,"PO Reference","Btire Order No.","SAP Order No.",Status,"SKU No.",Brand,"Product Description",Qty,Price,"Total Value"
55,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-03 03:54:04",,BT00028598,,approval_pending,PSR0G806-2025,Bridgestone,"Bridgestone 285/35 R20 T005 104Y T/L 2025",2.0000,1381,2762.0000
56,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-03 03:52:59",,BT00028597,,approval_pending,PSR01433-2025,Bridgestone,"Bridgestone 215/65 R16 98H Dueler H/P Sport 2025",2.0000,506,1012.0000
57,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-03 03:41:48",,BT00028596,,approval_pending,PSR0LE83-2025,Bridgestone,"Bridgestone 215/55 R16 93V Turanza T005 2025",2.0000,486,972.0000
58,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-03 03:26:29",,BT00028595,,approval_pending,TBR0J303-2025,Bridgestone,"Bridgestone 1200 R24 160K G580JZ 2025",30.0000,2100.35,63010.5000
59,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-03 03:26:29",,BT00028595,,approval_pending,PSR15633-2025,Bridgestone,"Bridgestone 255/45 R20 101W Alenza 001 2025",1.0000,1764,1764.0000
60,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-02 13:10:52",,BT00028594,,approval_pending,PSR16982-2025,Bridgestone,"Bridgestone 255/45 R20 2025",1.0000,1193,1193.0000
61,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-02 13:10:52",,BT00028594,,approval_pending,XRIMMAX8-2025,Maxxion,"Maxxion R 22.5X11.75/2920801 065 84 SILVER Back 2025",1.0000,503.2,503.2000
62,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-03-02 12:54:07",,BT00028593,,approval_pending,PSR0NF86-2025,Bridgestone,"Bridgestone 175/65 R14 82T Turanza EP150EZ 2025",1.0000,268,268.0000
63,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-14 13:29:00",,BT00028592,,canceled,PSR0G806-2025,Bridgestone,"Bridgestone 285/35 R20 T005 104Y T/L 2025",1.0000,1381,1381.0000
64,"HD IT Solutions",SI00000035,"Devendra Patel",SI00000035,"2026-02-14 13:28:59",,BT00028591,,approval_pending,PSR0G080-2025,Bridgestone,"Bridgestone 275/45 R20 110Y Dueler H/P AsymmetricVZ N0 2025",1.0000,1261,1261.0000
